medicare_provider_number,is_hospital_a_critical_access_hospital_y_n,hospital_compare_star_rating_october_na_not_available,number_of_outpatient_services,total_private_allowed_amount_for_outpatient_services_millions,simulated_medicare_allowed_amount_for_outpatient_services_millions,relative_price_for_outpatient_services,standardized_price_per_outpatient_service,number_of_inpatient_stays,total_private_allowed_amount_for_inpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_services_millions,relative_price_for_inpatient_services,standardized_price_per_inpatient_stay,total_private_allowed_amount_for_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_and_outpatient_services_millions,relative_price_for_professional_inpatient_and_outpatient_services,relative_price_for_inpatient_facility_services,relative_price_for_outpatient_facility_services,relative_price_for_inpatient_and_outpatient_services,total_private_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,total_private_allowed_amount_for_professional_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_professional_inpatient_and_outpatient_services_millions
160058,N,2,658,1.85,0.48,3.81,363.75,62,3.39,1.31,2.58,29691,5.23,1.8,3.8,2.407062692,3.8814123904,2.91,4.27,1.55,0.97,0.25
160064,N,4,197,0.61,0.23,2.7,302.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.186920943,NA,NA,NA,NA,NA
160067,N,2,14,0.06,0.01,6.85,646.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5617779521,NA,NA,NA,NA,NA
160069,N,4,490,2.03,0.63,3.25,288.34,141,2.4,0.9,2.67,18477,4.43,1.53,2.02,2.8574670474,3.5153356128,2.91,3.83,1.23,0.61,0.3
160079,N,5,100,0.19,0.07,2.66,256.28,16,0.4,0.13,3.24,21601,0.59,0.2,2.01,3.4141313716,2.8276696522,3.03,0.53,0.16,0.06,0.03
160080,N,4,100,0.39,0.1,3.88,383.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0518095315,NA,NA,NA,NA,NA
160082,N,3,141,0.38,0.16,2.36,207.84,24,0.42,0.19,2.28,17500,0.8,0.35,1.77,2.4328310309,2.424000241,2.32,0.7,0.29,0.1,0.06
160083,N,2,142,0.41,0.2,2.08,190.63,30,0.56,0.27,2.07,15050,0.97,0.47,1.75,2.1215106579,2.1470815567,2.07,0.84,0.4,0.13,0.07
160101,N,3,17,0.02,0.01,2.33,203.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3745646247,NA,NA,NA,NA,NA
160104,N,3,86,0.11,0.05,2.15,192.41,17,0.49,0.16,3.09,23237,0.59,0.21,2.96,3.0930325823000002,2.0449302027,2.86,0.49,0.17,0.11,0.04
160110,N,3,30,0.05,0.02,2.18,191.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3589495053,NA,NA,NA,NA,NA
160117,N,3,595,1.98,0.68,2.93,245.18,80,1.04,0.4,2.57,19195,3.02,1.08,2.5,2.662903079,2.9995712513,2.8,2.43,0.85,0.58,0.23
160124,N,4,20,0.02,0.01,3.23,316.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6045655921,NA,NA,NA,NA,NA
160146,N,2,29,0.06,0.03,2.45,228.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6072577018,NA,NA,NA,NA,NA
160147,N,4,19,0.03,0.01,3.38,292.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8091839502,NA,NA,NA,NA,NA
160153,N,1,14,0.02,0.01,2.06,195.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1659093828,NA,NA,NA,NA,NA
161301,Y,5,11,0.01,0.01,1.15,248.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0753437647,NA,NA,NA,NA,NA
161302,Y,3,53,0.26,0.21,1.28,212.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.235421921,NA,NA,NA,NA,NA
161305,Y,NA,12,0.01,0.01,1.39,198.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3152371389,NA,NA,NA,NA,NA
161306,Y,4,22,0.03,0.02,1.55,256.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.451215307,NA,NA,NA,NA,NA
161312,Y,NA,16,0.07,0.04,1.69,356.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5532102678,NA,NA,NA,NA,NA
161319,Y,NA,15,0.03,0.02,1.67,379.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.601279943,NA,NA,NA,NA,NA
161321,Y,NA,16,0.03,0.03,0.95,162.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8759079594,NA,NA,NA,NA,NA
161329,Y,NA,12,0.01,0.01,1.88,383.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8458448205,NA,NA,NA,NA,NA
161334,Y,NA,77,0.08,0.08,1.01,177.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9214981776,NA,NA,NA,NA,NA
161335,Y,NA,17,0.03,0.01,2.31,350.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2879902061,NA,NA,NA,NA,NA
161339,Y,4,13,0.01,0,1.77,243.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.649865549,NA,NA,NA,NA,NA
161346,Y,4,15,0.02,0.01,1.39,398.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.318243275,NA,NA,NA,NA,NA
161350,Y,4,34,0.03,0.03,1.19,199.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0950269261,NA,NA,NA,NA,NA
161353,Y,3,12,0.02,0.01,1.46,85.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4139199228,NA,NA,NA,NA,NA
161357,Y,NA,15,0.01,0.01,0.8,138.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7195052844,NA,NA,NA,NA,NA
161361,Y,3,34,0.05,0.05,1,189.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.892876756,NA,NA,NA,NA,NA
161367,Y,4,20,0.02,0.02,1.56,230.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4928165806,NA,NA,NA,NA,NA
161371,Y,3,23,0.02,0.01,1.91,355.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7024316391,NA,NA,NA,NA,NA
161375,Y,3,18,0.03,0.02,1.62,237.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5549739011000001,NA,NA,NA,NA,NA
170006,N,2,26,0.07,0.02,3.59,331.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1504809733,NA,NA,NA,NA,NA
170009,N,4,26,0.03,0.01,3.3,298.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8029085028,NA,NA,NA,NA,NA
170012,N,3,339,0.73,0.32,2.27,205.24,34,0.46,0.25,1.85,13585,1.19,0.57,1.74,1.8715892823,2.3935118091,2.09,1.03,0.48,0.16,0.09
170013,N,3,260,0.63,0.23,2.8,252.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0336101029,NA,NA,NA,NA,NA
170014,N,4,31,0.05,0.03,2.01,209.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2173236985,NA,NA,NA,NA,NA
170016,N,4,1846,4.3,1.59,2.7,240.44,110,2.06,0.9,2.29,15961,6.36,2.49,1.31,2.4956095515,3.1731803721,2.55,5.64,1.94,0.72,0.55
170017,N,3,163,0.19,0.09,2.04,186.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1845695001,NA,NA,NA,NA,NA
170020,N,3,504,1.73,0.63,2.76,254.75,76,0.95,0.61,1.57,12358,2.69,1.24,1.64,1.5772113172,3.0499487653,2.17,2.36,1.04,0.33,0.2
170023,N,2,214,0.41,0.16,2.51,241.05,29,0.3,0.24,1.22,11910,0.7,0.4,1.55,1.1963498893,2.7298190192,1.73,0.6,0.34,0.1,0.06
170027,N,4,97,0.12,0.06,1.9,166.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9069956483,NA,NA,NA,NA,NA
170039,N,3,26,0.03,0.01,2.01,156.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0730070182,NA,NA,NA,NA,NA
170040,N,5,592,2.35,0.67,3.49,304.07,77,4.63,1.09,4.25,35644,6.97,1.76,1.14,4.7261366833,4.168723791,3.96,6.63,1.46,0.34,0.3
170049,N,1,133,0.43,0.18,2.41,214.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7092064457,NA,NA,NA,NA,NA
170068,N,2,105,0.18,0.09,2.12,197.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3007573153,NA,NA,NA,NA,NA
170074,N,3,86,0.13,0.04,2.93,269.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2359591615,NA,NA,NA,NA,NA
170086,N,4,601,2.08,0.69,3.03,267.25,97,2.2,0.73,3.02,22674,4.28,1.41,1.62,3.1955337251000002,3.3991290795,3.03,3.92,1.19,0.36,0.22
170103,N,5,235,0.31,0.15,2.1,177.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1294188256,NA,NA,NA,NA,NA
170104,N,4,249,0.96,0.3,3.18,288.67,45,0.94,0.39,2.39,17252,1.9,0.7,1.14,2.6994428449,3.7171706193,2.73,1.74,0.56,0.16,0.14
170105,N,3,110,0.13,0.06,2.33,201.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39859941,NA,NA,NA,NA,NA
170122,N,2,417,1.21,0.48,2.54,219.45,102,2.4,1.07,2.25,18258,3.61,1.55,1.55,2.344583293,2.774551233,2.34,3.27,1.33,0.34,0.22
170123,N,4,988,1.94,0.91,2.14,184.55,157,2.88,1.32,2.19,17040,4.82,2.22,1.71,2.292242609,2.2054290409,2.17,4.2,1.86,0.62,0.36
170133,N,3,46,0.06,0.02,3.18,329.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8997864344,NA,NA,NA,NA,NA
170137,N,4,1222,2.24,0.84,2.67,250.19,62,0.67,0.43,1.57,11326,2.92,1.27,1.88,1.5749179709,2.8412020592,2.3,2.51,1.05,0.41,0.22
170142,N,2,162,0.37,0.1,3.74,349.21,15,0.16,0.1,1.6,12028,0.53,0.2,1.54,1.6803180431,4.3693607495,2.66,0.46,0.15,0.07,0.05
170146,N,5,70,0.19,0.05,3.42,290.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8581505208,NA,NA,NA,NA,NA
170150,N,2,38,0.05,0.02,2.15,226.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3341413392,NA,NA,NA,NA,NA
170175,N,2,66,0.15,0.04,3.53,341.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9650334628,NA,NA,NA,NA,NA
170176,N,2,100,0.52,0.13,4.06,359.87,25,0.66,0.17,3.91,33300,1.18,0.3,1.51,4.2621915671,4.7991664136,3.97,1.11,0.25,0.08,0.05
170182,N,3,72,0.31,0.08,4.04,386.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9254826808,NA,NA,NA,NA,NA
170183,N,NA,32,0.11,0.11,0.99,102.67,20,0.37,0.27,1.37,9529,0.48,0.38,1.2,1.415432995,0.908494684,1.26,0.36,0.28,0.12,0.1
170185,N,5,73,0.2,0.05,4.02,393.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9856755379,NA,NA,NA,NA,NA
170186,N,5,23,0.18,0.1,1.84,137.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8099918051,NA,NA,NA,NA,NA
170187,N,5,40,0.13,0.1,1.34,114.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1894253638,NA,NA,NA,NA,NA
170188,N,NA,63,0.21,0.07,2.85,305.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1493510553,NA,NA,NA,NA,NA
170190,N,5,27,0.14,0.08,1.72,146.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6994091565,NA,NA,NA,NA,NA
170191,N,3,117,0.13,0.06,2.11,177.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1733808507,NA,NA,NA,NA,NA
170196,N,NA,36,0.13,0.08,1.73,173.61,12,0.27,0.24,1.15,8171,0.41,0.31,1.27,1.1045587544,1.9376303508,1.29,0.3,0.23,0.11,0.08
170197,N,4,98,0.22,0.14,1.56,119.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5031683464,NA,NA,NA,NA,NA
170198,N,NA,19,0.05,0.05,1.03,82.23,11,0.2,0.14,1.43,9025,0.25,0.19,1.33,1.4854978117,0.8547956162,1.32,0.19,0.15,0.05,0.04
170200,N,4,102,0.2,0.1,2.11,199.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3448682185,NA,NA,NA,NA,NA
171307,Y,NA,22,0.02,0.02,0.85,310.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7792482613,NA,NA,NA,NA,NA
171310,Y,NA,20,0.02,0.02,1.14,205.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1565373755,NA,NA,NA,NA,NA
171311,Y,NA,14,0.01,0.01,1.65,282.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5373032696,NA,NA,NA,NA,NA
171313,Y,NA,40,0.03,0.02,1.75,280.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7296228913,NA,NA,NA,NA,NA
171316,Y,NA,11,0.01,0.01,1.15,299.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1584660671,NA,NA,NA,NA,NA
171322,Y,NA,17,0.01,0.01,0.68,216.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6017935465,NA,NA,NA,NA,NA
171327,Y,NA,11,0.01,0.01,1.28,188.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1684465547,NA,NA,NA,NA,NA
171330,Y,NA,13,0.03,0.02,1.15,171.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1037180707,NA,NA,NA,NA,NA
171333,Y,4,36,0.06,0.04,1.54,148.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4892310164,NA,NA,NA,NA,NA
171341,Y,4,20,0.01,0.01,1.18,136.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1037326235,NA,NA,NA,NA,NA
171343,Y,NA,78,0.08,0.08,1.04,325.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9520132859,NA,NA,NA,NA,NA
171358,Y,NA,16,0.01,0.01,1.33,287.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2801452175,NA,NA,NA,NA,NA
171359,Y,3,28,0.04,0.02,2.18,355.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2178961499,NA,NA,NA,NA,NA
171362,Y,3,56,0.1,0.05,1.99,266.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0008068987,NA,NA,NA,NA,NA
171369,Y,NA,28,0.02,0.02,1.16,219.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0441150323,NA,NA,NA,NA,NA
171370,Y,3,163,0.16,0.1,1.58,234.4,11,0.08,0.08,0.97,12206,0.24,0.18,1.4,0.903043025,1.5892102684,1.31,0.19,0.15,0.05,0.03
171371,Y,2,15,0.02,0.01,1.42,177.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3849629457,NA,NA,NA,NA,NA
171372,Y,NA,19,0.01,0.01,1.22,176.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.138987865,NA,NA,NA,NA,NA
171381,Y,NA,17,0.02,0.01,1.91,318.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8731457227,NA,NA,NA,NA,NA
171383,Y,3,109,0.16,0.13,1.31,150.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2743105093,NA,NA,NA,NA,NA
171384,Y,3,57,0.07,0.03,2.04,218.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0682151105,NA,NA,NA,NA,NA
180001,N,3,3115,6.42,2.43,2.64,247.61,141,3.06,0.94,3.27,21921,9.48,3.37,1.45,3.37421682,2.9715865622,2.82,8.64,2.79,0.84,0.58
180002,N,3,1435,3.78,1.13,3.34,286.38,168,1.82,0.85,2.14,14863,5.6,1.98,1.2,2.3045149148,3.8699084186,2.83,5.19,1.64,0.41,0.34
180004,N,4,1389,1.89,0.84,2.26,196.25,23,0.31,0.14,2.13,13611,2.19,0.98,1.17,2.2443408309,2.6103302517,2.24,1.94,0.76,0.26,0.22
180005,N,1,3812,5.79,2.56,2.27,187.25,123,1.67,0.87,1.93,13018,7.46,3.42,1.23,2.0205103235,2.5378354167,2.18,6.7,2.8,0.77,0.63
180009,N,2,7556,16.8,7.2,2.34,203.14,470,7.71,3.78,2.04,14537,24.51,10.98,1.05,2.2715686841,2.6716299317,2.23,22.19,8.77,2.32,2.2
180010,N,2,4724,12.43,7.3,1.7,150.17,551,14.33,6.82,2.1,15941,26.76,14.13,1.04,2.3081237084,1.8361435914,1.89,24.24,11.71,2.52,2.42
180011,N,4,4204,7.76,3.03,2.56,214.35,260,3.22,1.84,1.75,12998,10.98,4.87,1.2,1.880518862,2.9069984169,2.25,9.87,3.94,1.12,0.93
180012,N,3,10787,19.64,8.89,2.21,193.5,490,5.84,3.62,1.62,11317,25.48,12.51,1.14,1.7099691395,2.5088749229,2.04,22.61,10,2.87,2.51
180013,N,1,7161,16.63,8,2.08,184.67,981,19.36,7.79,2.49,19255,35.99,15.79,1.06,2.9592337507,2.2957004478,2.28,32.35,12.34,3.64,3.45
180016,N,3,2115,3.63,1.34,2.71,243.45,26,0.22,0.16,1.43,8398,3.86,1.5,1.38,1.4488913178,3.10432849,2.57,3.42,1.18,0.44,0.32
180017,N,2,4169,10.38,3.44,3.02,253.86,270,4.34,1.89,2.3,17984,14.72,5.33,1.17,2.6017200993,3.4729328512,2.76,13.46,4.25,1.26,1.07
180018,N,2,3819,5.47,2.89,1.89,167.39,209,2.11,1.55,1.37,9514,7.58,4.43,1.05,1.4104912742,2.1098509167,1.71,6.78,3.67,0.8,0.76
180019,N,3,2222,6.17,1.91,3.22,271.95,107,1.13,0.67,1.7,10955,7.3,2.58,1.18,1.7881361453,3.7311494567,2.83,6.76,2.11,0.55,0.47
180020,N,3,907,1.93,0.48,3.98,331.06,23,0.29,0.14,2.02,13500,2.22,0.63,1.28,2.1294724421,4.7784462512,3.53,2.06,0.5,0.16,0.13
180021,N,4,594,0.65,0.3,2.18,184.82,15,0.09,0.07,1.25,7757,0.74,0.37,1.09,1.2527583065,2.5267937794,2.01,0.66,0.29,0.08,0.07
180024,N,3,1101,1.76,0.72,2.45,210.76,54,0.48,0.37,1.28,9646,2.24,1.09,1.2,1.3573739819,2.8363607578,2.05,1.93,0.83,0.31,0.26
180025,N,3,1990,4.13,1.44,2.86,258.29,102,1.7,0.97,1.75,12249,5.83,2.41,1.12,1.939857748,3.3676035064,2.41,5.25,1.9,0.57,0.51
180027,N,2,4228,9.3,3.68,2.52,210.28,268,2.96,1.91,1.55,10626,12.26,5.59,1.09,1.6870012432,2.9028787941,2.19,11.01,4.45,1.24,1.14
180029,N,2,1989,9.74,2.45,3.97,350.8,233,4.72,1.81,2.61,17576,14.46,4.26,1.21,2.7153792835,4.631134324,3.39,13.74,3.67,0.72,0.6
180035,N,4,12981,36.25,13.47,2.69,246.02,1183,31.68,11.44,2.77,20981,67.92,24.92,1.32,3.0099146156,3.0458346396,2.73,62.07,20.49,5.85,4.42
180036,N,2,4072,9.45,3,3.15,274.26,239,3.39,1.78,1.9,13310,12.85,4.79,1.02,2.0983876982,3.7464048426,2.68,11.87,3.83,0.97,0.96
180038,N,3,11294,28.27,10.46,2.7,253.5,823,16.25,8.2,1.98,19025,44.51,18.66,1.02,2.1481997465,3.1051900597,2.39,41.29,15.49,3.22,3.16
180040,N,2,7734,15.67,9.8,1.6,140.62,610,13.66,8.19,1.67,14133,29.33,17.99,1.08,1.7462639315,1.7056317583,1.63,26.46,15.33,2.87,2.66
180043,N,4,969,2.04,0.64,3.21,293.94,37,0.74,0.22,3.41,23036,2.78,0.85,0.99,3.5782434685,3.7861063415,3.26,2.64,0.71,0.14,0.15
180044,N,1,9912,21.34,7.3,2.93,266.02,498,13.38,5.59,2.39,21472,34.73,12.89,0.93,2.5503388611,3.4684111026,2.69,32.78,10.79,1.95,2.1
180045,N,3,4239,7.69,2.92,2.63,246.19,311,7.06,2.52,2.8,19457,14.75,5.44,1.32,3.0524692268,2.9606523527,2.71,13.5,4.49,1.25,0.95
180046,N,3,833,1.21,0.41,2.97,274.75,35,0.22,0.23,0.96,6174,1.43,0.64,1.46,0.9450616037,3.4651413924,2.24,1.27,0.53,0.16,0.11
180048,N,3,5159,12.14,5.33,2.28,195.24,275,3.59,2,1.79,12674,15.73,7.33,0.99,1.9515211992,2.5837399677,2.14,14.4,5.99,1.33,1.34
180049,N,4,3884,5.74,3.08,1.86,167.83,98,1.32,0.82,1.61,12959,7.06,3.9,1.18,1.7286936823,2.0502078798,1.81,6.09,3.08,0.97,0.82
180050,N,2,1503,4.05,1.16,3.5,302.71,105,1.03,0.54,1.91,11871,5.07,1.69,1.02,1.9670082142,4.1414854055,3,4.8,1.42,0.28,0.27
180051,N,2,5117,9.06,4.17,2.17,203.72,234,4.66,1.88,2.47,18108,13.72,6.05,1,2.7979871436,2.486649502,2.27,12.49,4.83,1.23,1.23
180053,N,3,1121,1.26,0.55,2.3,209.82,18,0.17,0.1,1.74,10198,1.43,0.65,1.27,1.7851944629,2.602933008,2.21,1.26,0.51,0.17,0.13
180056,N,2,2220,4.99,1.77,2.82,248.6,101,1.32,0.69,1.91,15403,6.31,2.46,1.13,2.1292764869,3.2517605417,2.56,5.74,1.96,0.57,0.5
180064,N,3,2692,2.97,1.67,1.78,152.29,71,0.9,0.65,1.39,9393,3.87,2.32,1.27,1.4649323287,1.9074511403,1.67,3.26,1.84,0.61,0.48
180066,N,4,992,1.48,0.49,3.04,286.24,17,0.16,0.09,1.74,10311,1.64,0.58,1.84,1.768774304,3.4392911017,2.84,1.4,0.45,0.23,0.13
180067,N,1,22988,36.85,19.74,1.87,168.72,2241,65.5,31.56,2.08,20188,102.35,51.3,1.47,2.1194266079,1.9540042427,1.99,93.74,45.46,8.61,5.84
180069,N,2,276,0.58,0.14,4.24,374.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0690900644,NA,NA,NA,NA,NA
180070,N,4,1802,2.33,0.95,2.46,221.74,56,0.57,0.33,1.73,12431,2.9,1.27,1.2,1.8918295246,2.8040181306,2.27,2.58,1.01,0.32,0.27
180078,N,3,907,1.9,0.52,3.61,325.16,38,0.4,0.2,1.97,12391,2.29,0.73,1.16,2.0187710852,4.4578290145,3.15,2.13,0.58,0.17,0.15
180079,N,2,2074,4.52,1.31,3.45,306.83,52,1.13,0.38,3.01,21932,5.65,1.69,1.16,3.2583225721,3.9924430822,3.35,5.31,1.39,0.34,0.29
180080,N,2,6672,13.01,4.73,2.75,226.19,318,3.49,2.15,1.63,11538,16.5,6.87,1.21,1.7064208319,3.1445163477,2.4,15.02,5.65,1.48,1.23
180087,N,4,3306,5.32,2.51,2.12,187.27,89,1.16,0.64,1.82,13789,6.47,3.15,1.16,2.0440798732,2.3505051079,2.05,5.72,2.5,0.76,0.65
180088,N,2,20404,39.63,22.94,1.73,156.62,2255,36.14,22.74,1.59,13351,75.77,45.68,1.08,1.7173188827,1.8829404459,1.66,66.23,36.85,9.54,8.84
180092,N,3,3718,9.11,2.7,3.37,306.04,108,1.08,0.74,1.47,10150,10.2,3.44,1.12,1.5481960148,4.0421843635,2.96,9.39,2.72,0.81,0.72
180093,N,2,4244,9.29,4.49,2.07,180.82,324,4.18,2.73,1.53,12292,13.46,7.22,1.16,1.5799517801,2.3064019566,1.86,12.03,5.99,1.43,1.23
180095,N,3,519,0.58,0.3,1.94,170.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2040677021,NA,NA,NA,NA,NA
180101,N,4,2930,7.24,2.22,3.26,293.57,145,2.24,1.37,1.64,11637,9.48,3.59,1.22,1.741554878,3.8289896929,2.64,8.63,2.89,0.85,0.7
180102,N,3,4590,9.94,4.06,2.45,208.13,408,7.98,4.2,1.9,12521,17.92,8.26,1.02,2.068715847,2.821847668,2.17,16.39,6.76,1.53,1.51
180103,N,4,14848,44.11,15.7,2.81,249.67,1713,29.66,16.46,1.8,14364,73.77,32.15,1.04,1.9309120966,3.2300266553,2.29,68.23,26.86,5.53,5.3
180104,N,3,8347,15.5,7.48,2.07,172.73,566,9.06,5.13,1.77,13451,24.56,12.61,1.09,1.9153055586,2.3037999846,1.95,22.05,10.3,2.51,2.31
180105,N,3,762,0.68,0.32,2.17,187.89,26,0.13,0.11,1.16,6855,0.82,0.43,1.08,1.1644295173,2.4249724116,1.9,0.75,0.36,0.07,0.07
180115,N,4,1230,1.33,0.57,2.33,208.77,14,0.12,0.07,1.78,10319,1.45,0.63,1.46,1.8075620892,2.579092353,2.28,1.26,0.51,0.19,0.13
180116,N,4,2062,5.65,1.47,3.86,329.48,109,1.66,0.75,2.22,14549,7.31,2.21,1.25,2.3973167209,4.6785059643,3.3,6.74,1.76,0.57,0.46
180124,N,3,4734,11.45,6.06,1.89,178.45,303,8.4,3.37,2.49,16717,19.85,9.43,1.12,2.8513430324,2.1355338717,2.1,17.36,7.21,2.49,2.22
180127,N,2,10500,21.58,9.53,2.26,207.13,601,10.09,4.42,2.28,17050,31.67,13.95,1.06,2.5469449949,2.5783342493,2.27,28.74,11.19,2.94,2.76
180128,N,3,837,1.75,0.68,2.57,231.46,36,0.47,0.23,2.09,13180,2.23,0.91,1.29,2.1524563379,3.0075271114,2.45,1.98,0.72,0.24,0.19
180130,N,2,15752,25.41,15.89,1.6,143.04,1653,26.9,15.55,1.73,12254,52.31,31.44,1,1.917809682,1.7314219098999999,1.66,46.15,25.27,6.16,6.17
180132,N,1,3821,16.42,5.64,2.91,269.72,330,5.78,2.81,2.06,14553,22.2,8.45,0.93,2.2746192873,3.4018232315,2.63,20.75,6.89,1.45,1.56
180138,N,3,5654,8.23,8.15,1.01,211.73,115,1.48,0.92,1.62,11336,9.72,9.07,1.08,1.730640767,0.9988637356,1.07,8.74,8.17,0.97,0.9
180139,N,2,710,1.65,0.51,3.24,288.6,22,0.23,0.12,1.88,12417,1.88,0.63,1.23,1.9308012854,3.7881522082,2.98,1.74,0.52,0.14,0.12
180141,N,1,3446,5.88,3.67,1.6,144.91,427,9.39,6.25,1.5,15076,15.27,9.92,1.25,1.5224875944,1.6825893962,1.54,13.87,8.8,1.4,1.12
180143,N,4,8776,14.22,8.6,1.65,152.04,774,10.51,5.96,1.77,13268,24.73,14.56,1.07,1.9123338168,1.814076927,1.7,21.6,11.63,3.14,2.92
181301,Y,4,491,0.55,0.19,2.86,269.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3076014414,NA,NA,NA,NA,NA
181302,Y,4,764,0.73,0.54,1.34,222.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3053898437,NA,NA,NA,NA,NA
181304,Y,NA,787,0.61,0.41,1.51,243.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5788668665,NA,NA,NA,NA,NA
181306,Y,3,490,0.84,0.37,2.25,240.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4543333734,NA,NA,NA,NA,NA
181307,Y,NA,1121,1.54,0.63,2.42,334.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6117778359,NA,NA,NA,NA,NA
181308,Y,NA,812,1.11,0.53,2.11,249.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.240924604,NA,NA,NA,NA,NA
181309,Y,4,363,0.2,0.2,1.03,143.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0466311387,NA,NA,NA,NA,NA
